idx,les,dk,en
20_Adjectives_1,17,eget, = own (neuter singular)
20_Adjectives_1,18,egne, = own (plural or definite)
20_Adjectives_1,19,fantastiske, = amazing/fantastic
20_Adjectives_1,20,lokal, = local (common singular)
20_Adjectives_1,21,lokalt, = local (neuter singular)
20_Adjectives_1,22,lokale, = local (plural or definite)
20_Adjectives_1,23,personlig, = personal (common singular)
20_Adjectives_1,24,personlige, = personal (plural or definite)
20_Adjectives_1,25,private, = private
20_Adjectives_1,26,specielt, = special (neuter singular)
20_Adjectives_1,27,specielle, = special (plural or definite)
20_Adjectives_1,28,stor, = big (common singular)
20_Adjectives_1,29,stort, = big (neuter singular)
20_Adjectives_1,30,store, = big (plural or definite)
20_Adjectives_1,31,Lesson 3
20_Adjectives_1,32,anderledes, = different
20_Adjectives_1,33,beskidt, = dirty (neuter singular)
20_Adjectives_1,34,beskidte, = dirty (plural or definite)
20_Adjectives_1,35,dansk, = Danish (common singular)
